Eye,Face,Lips,Nails,Tongue,Vitamin Deficiency,Recommendation
Healthy Eye,Acne or Breakouts,Cracked,terry's nail,,"Vitamin E Deficiency, Vitamin B12 Deficiency","Eat nuts, seeds, and spinach to enhance Vitamin E levels. Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels."
Healthy Eye,Acne or Breakouts,Cracked,terry's nail,Magenta Coloured Tongue,"Vitamin B7 Deficiency, Vitamin A Deficiency","Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels."
Healthy Eye,Acne or Breakouts,Cracked,terry's nail,Not Visible / Normal,"Vitamin B9 Deficiency, Vitamin B7 Deficiency, Vitamin B6 Deficiency","Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels. Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels."
Healthy Eye,Acne or Breakouts,Cracked,terry's nail,Swollen Red,"Vitamin B6 Deficiency, Vitamin B1 Deficiency, Vitamin D Deficiency","Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels. Eat whole grains, pork, and legumes to enhance Vitamin B1 levels. Get sunlight exposure and consume fatty fish, eggs, and fortified dairy to boost Vitamin D levels."
Healthy Eye,Acne or Breakouts,Cracked,terry's nail,White Tongue,"Vitamin B6 Deficiency, Vitamin B2 Deficiency","Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels. Consume dairy products, eggs, and green vegetables to improve Vitamin B2 levels."
Healthy Eye,Acne or Breakouts,Cracked,white spot,,Vitamin A Deficiency,"Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels."
Healthy Eye,Acne or Breakouts,Cracked,white spot,Magenta Coloured Tongue,"Vitamin B2 Deficiency, Vitamin B1 Deficiency","Consume dairy products, eggs, and green vegetables to improve Vitamin B2 levels. Eat whole grains, pork, and legumes to enhance Vitamin B1 levels."
Healthy Eye,Acne or Breakouts,Cracked,white spot,Not Visible / Normal,Vitamin B3 Deficiency,"Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels."
Healthy Eye,Acne or Breakouts,Cracked,white spot,Swollen Red,"Vitamin B6 Deficiency, Vitamin E Deficiency, Vitamin B7 Deficiency","Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels. Eat nuts, seeds, and spinach to enhance Vitamin E levels."
Healthy Eye,Acne or Breakouts,Cracked,white spot,White Tongue,Vitamin B5 Deficiency,"Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels."
Healthy Eye,Acne or Breakouts,Normal,,,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Healthy Eye,Acne or Breakouts,Normal,,Magenta Coloured Tongue,Vitamin B12 Deficiency,"Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels."
Healthy Eye,Acne or Breakouts,Normal,,Not Visible / Normal,Vitamin E Deficiency,"Eat nuts, seeds, and spinach to enhance Vitamin E levels."
Healthy Eye,Acne or Breakouts,Normal,,Swollen Red,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Healthy Eye,Acne or Breakouts,Normal,,White Tongue,"Vitamin C Deficiency, Vitamin C Deficiency, Vitamin B7 Deficiency","Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels. Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels."
Healthy Eye,Acne or Breakouts,Normal,beau's line,,Vitamin B3 Deficiency,"Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels."
Healthy Eye,Acne or Breakouts,Normal,beau's line,Magenta Coloured Tongue,"Vitamin B9 Deficiency, Vitamin A Deficiency, Vitamin B1 Deficiency","Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels. Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels. Eat whole grains, pork, and legumes to enhance Vitamin B1 levels."
Healthy Eye,Acne or Breakouts,Normal,beau's line,Not Visible / Normal,"Vitamin B12 Deficiency, Vitamin B2 Deficiency, Vitamin K Deficiency","Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels. Consume dairy products, eggs, and green vegetables to improve Vitamin B2 levels. Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels."
Healthy Eye,Acne or Breakouts,Normal,beau's line,Swollen Red,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Healthy Eye,Acne or Breakouts,Normal,beau's line,White Tongue,"Vitamin K Deficiency, Vitamin A Deficiency","Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels. Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels."
Healthy Eye,Acne or Breakouts,Normal,black line,,Vitamin B12 Deficiency,"Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels."
Healthy Eye,Acne or Breakouts,Normal,black line,Magenta Coloured Tongue,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Healthy Eye,Acne or Breakouts,Normal,black line,Not Visible / Normal,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Healthy Eye,Acne or Breakouts,Normal,black line,Swollen Red,"Vitamin B9 Deficiency, Vitamin E Deficiency","Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels. Eat nuts, seeds, and spinach to enhance Vitamin E levels."
Healthy Eye,Acne or Breakouts,Normal,black line,White Tongue,"Vitamin B12 Deficiency, Vitamin E Deficiency","Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels. Eat nuts, seeds, and spinach to enhance Vitamin E levels."
Healthy Eye,Acne or Breakouts,Normal,clubbing,,"Vitamin B6 Deficiency, Vitamin K Deficiency","Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels. Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels."
Healthy Eye,Acne or Breakouts,Normal,clubbing,Magenta Coloured Tongue,"Vitamin B9 Deficiency, Vitamin E Deficiency","Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels. Eat nuts, seeds, and spinach to enhance Vitamin E levels."
Healthy Eye,Acne or Breakouts,Normal,clubbing,Not Visible / Normal,"Vitamin A Deficiency, Vitamin B12 Deficiency","Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels. Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels."
Healthy Eye,Acne or Breakouts,Normal,clubbing,Swollen Red,Vitamin B12 Deficiency,"Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels."
Healthy Eye,Acne or Breakouts,Normal,clubbing,White Tongue,"Vitamin B3 Deficiency, Vitamin B7 Deficiency","Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels."
Healthy Eye,Acne or Breakouts,Normal,muehrck-e's lines,,"Vitamin B3 Deficiency, Vitamin B1 Deficiency","Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels. Eat whole grains, pork, and legumes to enhance Vitamin B1 levels."
Healthy Eye,Acne or Breakouts,Normal,muehrck-e's lines,Magenta Coloured Tongue,Vitamin B5 Deficiency,"Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels."
Healthy Eye,Acne or Breakouts,Normal,muehrck-e's lines,Not Visible / Normal,"Vitamin B6 Deficiency, Vitamin B9 Deficiency","Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels. Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels."
Healthy Eye,Acne or Breakouts,Normal,muehrck-e's lines,Swollen Red,"Vitamin B12 Deficiency, Vitamin B9 Deficiency, Vitamin A Deficiency","Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels. Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels. Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels."
Healthy Eye,Acne or Breakouts,Normal,muehrck-e's lines,White Tongue,"Vitamin B6 Deficiency, Vitamin B9 Deficiency, Vitamin B1 Deficiency","Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels. Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels. Eat whole grains, pork, and legumes to enhance Vitamin B1 levels."
Healthy Eye,Acne or Breakouts,Normal,onycholysis,,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Healthy Eye,Acne or Breakouts,Normal,onycholysis,Magenta Coloured Tongue,"Vitamin B6 Deficiency, Vitamin B3 Deficiency, Vitamin C Deficiency","Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels. Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels. Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels."
Healthy Eye,Acne or Breakouts,Normal,onycholysis,Not Visible / Normal,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Healthy Eye,Acne or Breakouts,Normal,onycholysis,Swollen Red,Vitamin B9 Deficiency,"Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels."
Healthy Eye,Acne or Breakouts,Normal,onycholysis,White Tongue,"Vitamin B3 Deficiency, Vitamin D Deficiency","Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels. Get sunlight exposure and consume fatty fish, eggs, and fortified dairy to boost Vitamin D levels."
Healthy Eye,Acne or Breakouts,Normal,terry's nail,,"Vitamin B3 Deficiency, Vitamin C Deficiency","Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels. Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels."
Healthy Eye,Acne or Breakouts,Normal,terry's nail,Magenta Coloured Tongue,"Vitamin C Deficiency, Vitamin D Deficiency, Vitamin B5 Deficiency","Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels. Get sunlight exposure and consume fatty fish, eggs, and fortified dairy to boost Vitamin D levels. Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels."
Healthy Eye,Acne or Breakouts,Normal,terry's nail,Not Visible / Normal,"Vitamin E Deficiency, Vitamin B6 Deficiency, Vitamin B3 Deficiency","Eat nuts, seeds, and spinach to enhance Vitamin E levels. Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels. Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels."
Healthy Eye,Acne or Breakouts,Normal,terry's nail,Swollen Red,Vitamin B9 Deficiency,"Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels."
Healthy Eye,Acne or Breakouts,Normal,terry's nail,White Tongue,"Vitamin C Deficiency, Vitamin A Deficiency","Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels. Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels."
Healthy Eye,Acne or Breakouts,Normal,white spot,,"Vitamin B3 Deficiency, Vitamin B9 Deficiency","Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels. Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels."
Healthy Eye,Acne or Breakouts,Normal,white spot,Magenta Coloured Tongue,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Healthy Eye,Acne or Breakouts,Normal,white spot,Not Visible / Normal,Vitamin B12 Deficiency,"Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels."
Healthy Eye,Acne or Breakouts,Normal,white spot,Swollen Red,"Vitamin E Deficiency, Vitamin E Deficiency, Vitamin C Deficiency","Eat nuts, seeds, and spinach to enhance Vitamin E levels. Eat nuts, seeds, and spinach to enhance Vitamin E levels. Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels."
Healthy Eye,Acne or Breakouts,Normal,white spot,White Tongue,"Vitamin E Deficiency, Vitamin B9 Deficiency, Vitamin B2 Deficiency","Eat nuts, seeds, and spinach to enhance Vitamin E levels. Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels. Consume dairy products, eggs, and green vegetables to improve Vitamin B2 levels."
Healthy Eye,Clear Face,,,,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Healthy Eye,Clear Face,,,Magenta Coloured Tongue,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Healthy Eye,Clear Face,,,Not Visible / Normal,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Healthy Eye,Clear Face,,,Swollen Red,Vitamin B9 Deficiency,"Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels."
Healthy Eye,Clear Face,,,White Tongue,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Healthy Eye,Clear Face,,beau's line,,"Vitamin E Deficiency, Vitamin C Deficiency, Vitamin B6 Deficiency","Eat nuts, seeds, and spinach to enhance Vitamin E levels. Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels. Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels."
Healthy Eye,Clear Face,,beau's line,Magenta Coloured Tongue,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Healthy Eye,Clear Face,,beau's line,Not Visible / Normal,Vitamin A Deficiency,"Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels."
Healthy Eye,Clear Face,,beau's line,Swollen Red,"Vitamin B1 Deficiency, Vitamin B9 Deficiency","Eat whole grains, pork, and legumes to enhance Vitamin B1 levels. Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels."
Healthy Eye,Clear Face,,beau's line,White Tongue,"Vitamin D Deficiency, Vitamin E Deficiency, Vitamin B2 Deficiency","Get sunlight exposure and consume fatty fish, eggs, and fortified dairy to boost Vitamin D levels. Eat nuts, seeds, and spinach to enhance Vitamin E levels. Consume dairy products, eggs, and green vegetables to improve Vitamin B2 levels."
Healthy Eye,Clear Face,,black line,,"Vitamin B12 Deficiency, Vitamin B7 Deficiency","Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels."
Healthy Eye,Clear Face,,black line,Magenta Coloured Tongue,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Healthy Eye,Clear Face,,black line,Not Visible / Normal,Vitamin B3 Deficiency,"Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels."
Healthy Eye,Clear Face,,black line,Swollen Red,Vitamin B3 Deficiency,"Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels."
Healthy Eye,Clear Face,,black line,White Tongue,Vitamin A Deficiency,"Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels."
Healthy Eye,Clear Face,,clubbing,,"Vitamin B12 Deficiency, Vitamin E Deficiency","Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels. Eat nuts, seeds, and spinach to enhance Vitamin E levels."
